onset	duration	trial_type	value	sample
417.4604	0.0	missing_trigger	6	2087302
417.4604	0.0	trigger	1	2087302
417.5228	0.0	missing_trigger	6	2087614
417.5228	0.0	trigger	1	2087614
417.5852	0.0	missing_trigger	6	2087926
417.5852	0.0	trigger	1	2087926
417.6478	0.0	missing_trigger	6	2088239
417.6478	0.0	trigger	1	2088239
417.7102	0.0	missing_trigger	6	2088551
417.7102	0.0	trigger	1	2088551
417.7728	0.0	missing_trigger	6	2088864
417.7728	0.0	trigger	1	2088864
417.8352	0.0	missing_trigger	6	2089176
417.8352	0.0	trigger	1	2089176
417.8976	0.0	missing_trigger	6	2089488
417.8976	0.0	trigger	1	2089488
417.9608	0.0	trigger	1	2089804
417.9608	0.0002	Response/R128	3	2089804
418.0232	0.0	missing_trigger	6	2090116
418.0232	0.0	trigger	1	2090116
418.0858	0.0	missing_trigger	6	2090429
418.0858	0.0	trigger	1	2090429
418.1482	0.0	missing_trigger	6	2090741
418.1482	0.0	trigger	1	2090741
418.2108	0.0	missing_trigger	6	2091054
418.2108	0.0	trigger	1	2091054
418.2732	0.0	missing_trigger	6	2091366
418.2732	0.0	trigger	1	2091366
418.3356	0.0	missing_trigger	6	2091678
418.3356	0.0	trigger	1	2091678
418.3982	0.0	missing_trigger	6	2091991
418.3982	0.0	trigger	1	2091991
418.4606	0.0	missing_trigger	6	2092303
418.4606	0.0	trigger	1	2092303
418.5232	0.0	missing_trigger	6	2092616
418.5232	0.0	trigger	1	2092616
418.5856	0.0	missing_trigger	6	2092928
418.5856	0.0	trigger	1	2092928
418.648	0.0	missing_trigger	6	2093240
418.648	0.0	trigger	1	2093240
418.7106	0.0	missing_trigger	6	2093553
418.7106	0.0	trigger	1	2093553
418.773	0.0	missing_trigger	6	2093865
418.773	0.0	trigger	1	2093865
418.8356	0.0	missing_trigger	6	2094178
418.8356	0.0	trigger	1	2094178
418.898	0.0	missing_trigger	6	2094490
418.898	0.0	trigger	1	2094490
418.9604	0.0	missing_trigger	6	2094802
418.9604	0.0	trigger	1	2094802
